generation,rank_1,rank_2,swapAccepted
438000,2,4,1
439000,1,4,1
440000,2,3,1
441000,3,4,1
442000,3,4,1
443000,1,4,1
444000,2,4,1
445000,1,4,0
446000,1,4,0
447000,2,4,1
448000,1,3,1
449000,2,4,0
450000,2,4,1
451000,1,3,1
452000,2,4,1
453000,2,3,1
454000,3,4,1
455000,3,4,1
456000,3,4,1
457000,2,3,1
458000,2,3,1
459000,2,3,1
460000,1,4,1
461000,2,4,1
462000,2,4,0
463000,1,2,1
464000,2,4,1
465000,2,3,1
466000,2,3,1
467000,3,4,1
468000,2,4,1
469000,1,2,1
470000,3,4,1
471000,1,3,1
472000,1,4,1
473000,3,4,1
474000,2,3,1
475000,3,4,1
476000,1,3,1
477000,1,2,1
478000,2,4,1
479000,1,4,1
480000,3,4,1
481000,1,4,1
482000,2,3,1
483000,2,4,1
484000,1,3,1
485000,2,4,1
486000,1,4,1
487000,1,3,1
488000,1,4,1
489000,2,4,1
490000,2,3,1
491000,1,2,1
492000,1,4,1
493000,2,3,1
494000,2,3,1
495000,1,3,1
496000,3,4,1
497000,2,3,1
498000,3,4,1
499000,1,4,1
500000,3,4,1
501000,3,4,1
502000,2,4,1
503000,3,4,1
504000,1,3,1
505000,3,4,1
506000,2,3,1
507000,1,4,0
508000,2,4,0
509000,2,4,1
510000,1,2,1
511000,1,4,1
512000,2,3,1
513000,1,2,1
514000,3,4,1
515000,3,4,1
516000,1,2,1
517000,2,3,1
518000,3,4,1
519000,3,4,1
520000,1,3,1
521000,1,4,1
522000,1,4,1
523000,3,4,1
524000,2,3,1
525000,3,4,1
526000,2,4,1
527000,1,4,1
528000,2,4,1
529000,1,2,1
530000,2,4,1
531000,1,2,1
532000,3,4,1
533000,2,3,1
534000,2,3,1
535000,3,4,1
536000,1,4,1
537000,1,4,0
538000,2,3,1
539000,1,3,1
540000,1,2,1
541000,1,3,1
542000,3,4,1
543000,1,4,1
544000,2,4,1
545000,2,4,1
546000,1,2,1
547000,3,4,1
548000,2,4,1
549000,1,3,1
550000,3,4,1
551000,1,4,1
552000,2,4,1
553000,3,4,1
554000,1,2,1
555000,1,2,1
556000,1,4,1
557000,3,4,1
558000,2,3,1
559000,2,3,1
560000,1,3,1
561000,3,4,1
562000,1,4,1
563000,2,4,1
564000,3,4,1
565000,3,4,1
566000,1,3,1
567000,1,4,1
568000,1,4,1
569000,2,4,1
570000,3,4,1
571000,2,4,1
572000,1,4,1
573000,2,3,1
574000,1,2,1
575000,2,4,1
576000,3,4,1
577000,2,4,1
578000,1,2,1
579000,3,4,1
580000,3,4,1
581000,2,3,1
